N,S_широкая,отн_ошибка_широкая,S_узкая,отн_ошибка_узкая
69600,0.943158936324,0.001438035957,0.941831044548,0.002843930731
70100,0.944059621194,0.000484443071,0.941683286423,0.003000368463
70600,0.943845890022,0.000710729236,0.941897041566,0.002774056918
71100,0.941584081380,0.003105401006,0.942036411746,0.002626499857
71600,0.940168566375,0.004604066173,0.942244715523,0.002405959902
72100,0.939986265497,0.004797075766,0.942309353070,0.002337525418
72600,0.939940389368,0.004845646749,0.942233292696,0.002418053729
73100,0.940028138576,0.004752742978,0.942227698480,0.002423976561
73600,0.940114695540,0.004661101487,0.942549711858,0.002083047478
74100,0.939806475650,0.004987426825,0.942798890835,0.001819231234
74600,0.939763034471,0.005033419825,0.942670566253,0.001955093856
75100,0.939461259992,0.005352921135,0.942814257483,0.001802961918
75600,0.938649078512,0.006212811767,0.942855353279,0.001759452073
76100,0.938358588561,0.006520365675,0.942695842728,0.001928332590
76600,0.938071890906,0.006823904519,0.942654358132,0.001972254074
77100,0.939428182422,0.005387941748,0.942728603264,0.001893647635
77600,0.940265854926,0.004501062698,0.942622042490,0.002006468001
78100,0.939723486867,0.005075290534,0.942614317623,0.002014646642
78600,0.939806475650,0.004987426825,0.942768110112,0.001851820077
79100,0.938782230396,0.006071838278,0.943080357049,0.001521231135
79600,0.939480775953,0.005332258768,0.943006142412,0.001599805287
80100,0.939320975727,0.005501445977,0.942901175050,0.001710938640
80600,0.939404402203,0.005413118864,0.942939182289,0.001670698781
81100,0.941884367428,0.002787475560,0.942867210676,0.001746898149
81600,0.942189352110,0.002464575473,0.942889411800,0.001723392887
82100,0.941780112669,0.002897854451,0.942772258641,0.001847427855
82600,0.941022723489,0.003699734174,0.942733324888,0.001888648654
83100,0.941444380624,0.003253308062,0.942969679997,0.001638409576
83600,0.942209874491,0.002442847567,0.942914854726,0.001696455393
84100,0.942272653617,0.002376380670,0.942800336346,0.001817700810
84600,0.942449609538,0.002189030006,0.942747159977,0.001874000865
85100,0.942852973403,0.001761971748,0.942754244384,0.001866500305
85600,0.942002285173,0.002662631093,0.942716780355,0.001906165046
86100,0.941726061146,0.002955081067,0.942665015629,0.001960970534
86600,0.940891702527,0.003838451567,0.942599197911,0.002030654516
87100,0.941517988294,0.003175376531,0.942796335285,0.001821936902
87600,0.940916308522,0.003812400168,0.942904321277,0.001707607598
88100,0.940873225339,0.003858014143,0.942910272497,0.001701306792
88600,0.941818204309,0.002857525232,0.943030716721,0.001573787435
89100,0.941879658401,0.002792461204,0.943149809158,0.001447699271
89600,0.942374450549,0.002268603984,0.943154290838,0.001442954329
90100,0.942216328069,0.002436014892,0.943285457353,0.001304082832
90600,0.942274567559,0.002374354299,0.942981055012,0.001626366371
91100,0.941264973909,0.003443253484,0.943111732519,0.001488012607
91600,0.941540044288,0.003152024924,0.943227132391,0.001365833918
92100,0.941917688670,0.002752196963,0.943203520980,0.001390832311
92600,0.941346338796,0.003357109061,0.943371984800,0.001212472591
93100,0.941198833109,0.003513279526,0.943497755542,0.001079313826
93600,0.941883855128,0.002788017954,0.943500187009,0.001076739530
94100,0.941838377957,0.002836166544,0.943691355177,0.000874341765
94600,0.942718320457,0.001904534475,0.943504972835,0.001071672576
95100,0.942464472862,0.002173293582,0.943373915393,0.001210428591
95600,0.942416672542,0.002223901788,0.943350400723,0.001235324560
96100,0.942875203960,0.001738435323,0.943168701530,0.001427697123
96600,0.941919983466,0.002749767365,0.943317235750,0.001270437710
97100,0.941174850433,0.003538670992,0.943281309729,0.001308474096
97600,0.941732308592,0.002948466634,0.943310749443,0.001277305035
98100,0.941788562491,0.002888908269,0.943469221772,0.001109523726
98600,0.941745644079,0.002934347794,0.943201453208,0.001393021547
99100,0.941801263047,0.002875461657,0.943422891688,0.001158575332
99600,0.941563488172,0.003127203900,0.943489244970,0.001088324327
100000,0.942172195399,0.002482740003,0.943432737013,0.001148151672
