N,S_широкая,отн_ошибка_широкая,S_узкая,отн_ошибка_узкая
100,1.652763112350,0.749849697653,0.913502831735,0.032836198986
600,1.020824275275,0.080789519138,0.945221680059,0.000745877438
1100,0.910345457605,0.036179043539,0.964252989053,0.020895123292
1600,0.947908255612,0.003590267771,0.953944363348,0.009980948455
2100,0.958324829850,0.014618732252,0.957002966579,0.013219220110
2600,0.889949368188,0.057773239725,0.955469307979,0.011595471360
3100,0.922034829281,0.023803014972,0.953202551573,0.009195561183
3600,0.929004102367,0.016424352953,0.953327607964,0.009327963635
4100,0.931902300077,0.013355909358,0.950946545366,0.006807032695
4600,0.919375900092,0.026618134937,0.953220346158,0.009214401058
5100,0.922649765141,0.023151956558,0.957287281186,0.013520235921
5600,0.937491681375,0.007438196710,0.958815472198,0.015138195905
6100,0.929181190453,0.016236862361,0.958637192957,0.014949444188
6600,0.942752577455,0.001868265154,0.955217923167,0.011329319705
7100,0.944827297035,0.000328327573,0.954067218042,0.010111019877
7600,0.944070570367,0.000472850722,0.952567097565,0.008522779347
8100,0.949408585235,0.005178729734,0.951095540860,0.006964780479
8600,0.945082053300,0.000598048726,0.950385213507,0.006212727088
9100,0.951914630319,0.007831984880,0.950310638142,0.006133771018
9600,0.938793753155,0.006059638649,0.950508154780,0.006342890175
10100,0.926971972739,0.018575853908,0.949932400107,0.005733314531
10600,0.924520098362,0.021171756252,0.950607899586,0.006448494189
11100,0.930171926505,0.015187928507,0.949965219538,0.005768061840
11600,0.938688988759,0.006170557114,0.949596693621,0.005377887979
12100,0.940074303087,0.004703866673,0.949887758573,0.005686050664
12600,0.944436064200,0.000085887056,0.949048080809,0.004797048562
13100,0.939559093056,0.005249341164,0.949531569373,0.005308938204
13600,0.946478529737,0.002076556960,0.949699635116,0.005486876463
14100,0.943943554780,0.000607327457,0.949135920916,0.004890048571
14600,0.938252709630,0.006632464145,0.948523916323,0.004242093614
15100,0.939377242274,0.005441874221,0.949464863742,0.005238314152
15600,0.943545758710,0.001028490857,0.949694850976,0.005481811293
16100,0.935378173559,0.009675856169,0.949201311960,0.004959280815
16600,0.934144990857,0.010981478471,0.948508211331,0.004225466080
17100,0.925592826593,0.020036013836,0.947262073811,0.002906127968
17600,0.925812492078,0.019803444764,0.947744770266,0.003417178972
18100,0.921185810101,0.024701907223,0.947569926288,0.003232064311
18600,0.927784479577,0.017715618807,0.947404482524,0.003056902052
19100,0.927420508377,0.018100970396,0.947712689090,0.003383213283
19600,0.932531407929,0.012689846462,0.946710523960,0.002322178984
20100,0.934002215378,0.011132640864,0.945695095705,0.001247102459
20600,0.933041882672,0.012149385420,0.945775990030,0.001332748676
21100,0.934430887049,0.010678788168,0.945251745318,0.000777708790
21600,0.936205684556,0.008799735534,0.944751771195,0.000248365195
22100,0.935260680558,0.009800250942,0.943355865452,0.001229538822
22600,0.931776392855,0.013489212620,0.943144516540,0.001453302788
23100,0.928442940118,0.017018478986,0.943162014583,0.001434776875
23600,0.926074645205,0.019525892242,0.943071249664,0.001530873506
24100,0.932679598670,0.012532950702,0.943352768664,0.001232817521
24600,0.933483135191,0.011682212851,0.942333459724,0.002312002692
25100,0.933092650024,0.012095635893,0.942163528149,0.002491916385
25600,0.933856730990,0.011286671294,0.942000234526,0.002664802199
26100,0.936826510606,0.008142440929,0.941745974840,0.002933997603
26600,0.932740261547,0.012468724368,0.941501273789,0.003193072879
27100,0.932392300629,0.012837125201,0.942014682110,0.002649505935
27600,0.931000193082,0.014311007908,0.942601427371,0.002028294093
